bc,L,n,c,delta,samples,zeta_s,zeta_s_err,W2_direct,W2_parseval
free,8192,1.0,1.0,1.0,1000,1.495558,0.002711,5964554804.496058,5964554804.496058
free,8192,1.1,1.0,1.0,1000,1.488871,0.002714,1553478217.087888,1553478217.087889
free,8192,1.3,1.0,1.0,1000,1.462560,0.002801,298135823.269543,298135823.269543
free,8192,1.5,1.0,1.0,1000,1.433461,0.002861,112770607.737210,112770607.737210
free,8192,2.0,1.0,1.0,1000,1.378713,0.002865,31587071.896578,31587071.896578
free,8192,3.0,1.0,1.0,1000,1.324323,0.002807,11659525.882097,11659525.882097
free,8192,4.0,1.0,1.0,1000,1.298922,0.002775,7655081.878289,7655081.878289
periodic,1048576,0.8,1.0,1.0,1000,1.486706,0.002231,5589525148791853056.000000,5589525148791856128.000000
periodic,1048576,0.85,1.0,1.0,1000,1.491977,0.001889,292354139391646720.000000,292354139391646912.000000
periodic,1048576,0.9,1.0,1.0,1000,1.496132,0.001776,32584621413084476.000000,32584621413084524.000000
periodic,1048576,1.0,1.0,1.0,1000,1.499931,0.001779,1555328688235999.500000,1555328688235995.500000
periodic,1048576,1.1,1.0,1.0,1000,1.496642,0.001852,208975486805153.937500,208975486805153.968750
periodic,1048576,1.3,1.0,1.0,1000,1.475134,0.002018,17445255368090.982422,17445255368091.007812
periodic,1048576,1.5,1.0,1.0,1000,1.447712,0.002107,3991699015074.371094,3991699015074.367188
periodic,1048576,2.0,1.0,1.0,1000,1.392579,0.002125,569545092853.142700,569545092853.141724
periodic,1048576,3.0,1.0,1.0,1000,1.335972,0.002081,122065917876.355392,122065917876.355545
periodic,1048576,4.0,1.0,1.0,1000,1.309295,0.002064,63407071927.874039,63407071927.874016
periodic,131072,0.8,1.0,1.0,1000,1.488496,0.002242,2981946953845710.500000,2981946953845709.000000
periodic,131072,0.85,1.0,1.0,1000,1.493401,0.001894,253700584965635.000000,253700584965634.718750
periodic,131072,0.9,1.0,1.0,1000,1.497224,0.001803,40688219217248.812500,40688219217248.898438
